,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
69,Glace praliné - Aux douceurs de la ferme - 1/2l,,['Aux douceurs de la ferme'],,['C’nos terroirs'],['France'],"['Crème', 'saccharose', 'trimoline', 'praliné ', '25% noisette', '25% amandes', 'stabilisateurs ', 'gomme de caroube', 'alginate de sodium', 'carraghénanes']",['Non végétalien'],?,?,?,?,?,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au praliné']",,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,,,,,,,,,,,1/2 l,['Barquette plastique'],['Lait origine Haute-Savoie'],['Annecy-le-Vieux'],4,,"['E410 - Gomme de caroube', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],,,,
70,Lait Et Éclats D amandes - Le Chocolat des Français,3701198800683,['Le Chocolat des Français'],"['Bio', 'Bio européen', 'Sans conservateurs', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],[],['Sans huile de palme'],?,585,"41,3","42,5","9,74",,,,,,,,,,,,,,,,,,,,,,,,2448 kj(585 kcal),,"24,7",,"34,3",,"0,27",,"0,108",,,,,,,,,,,,,,,,,
71,Les zezettes de sete,3526590000154,,,,['France'],[],[],?,470,"17,7","71,6","6,1",,,,,,,,,,,,,,,,,,,,,,,,1966 kj(470 kcal),,"3,2",,"30,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,
72,Kakaji Namkeen,8901304292837,,,,['France'],[],[],?,535,"37,2","44,5","5,65",,,,,,,,,,,,,,,,,,,,,,,,2238 kj(535 kcal),,"8,8",,0,,0,,0,,,,,,,,,,,,,,,,,
73,huile d'olive vierge extra - picholine - 75cl,58512722,['Picholine'],,,['France'],[],[],?,?,?,?,?,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,75cl,,,,,,,,,,,
74,GG 50% Bar,5060270120544,,,,['France'],[],[],?,540,"33,3","52,2","4,4",,,,,,,,,,,,,,,,,,,,,,,,2259 kj(540 kcal),,21,,"48,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
75,Pâté de Sanglier,3342630000027,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Jambon à l'os 350g / 10 tranches - Delhaize - 350g,5400112547908,['Delhaize'],,['Delhaize'],['France'],[],[],?,113,2,"0,9",23,,,,,,,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,"0,6",,"0,9",,2,,"0,8",,,,,,350 g,,,,,,,,,,,
77,Halloumi TESCO 30% less fat,5051790381133,['Tesco'],,,['France'],[],[],?,253,17,"0,7",24,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Halloumi']",,-19%,-29%,-67%,+11%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,17 g,en quantité modérée,11.7 g,en quantité élevée,0.7 g,en faible quantité,3.1 g,en quantité élevée,1059 kj(253 kcal),-19%,"11,7",-22%,"0,7",-57%,"3,1",+19%,"1,24",+19%,18,+3%,D,+3%,,,,,,,,,,,,
78,Les milanaises,2481831039427,,,,['France'],[],[],?,165,6,11,16,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,+25%,+285%,+60%,-25%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,690 kj(165 kcal),+26%,"3,2",+502%,"1,9",+3%,"1,4",+55%,"0,56",+55%,11,+1501%,D,+1501%,,,,,,,,,,,,
79,Pasta Rigo Cannelloni,8006807000016,,,,['France'],[],[],?,350,"0,3","72,6","11,5",,,,,,,,,,,,,,,,,,,,,,,,1464 kj(350 kcal),,"0,3",,"3,5",,"0,005",,"0,002",,,,,,,,,,,,,,,,,
80,Bruschetta - Roberto,8003490041609,['Roberto'],['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],?,258,"2,9","48,3","8,2",,,,,,,,,,,,,,,,,,,,,,,,1079 kj(258 kcal),,"0,5",,"3,1",,"1,4",,"0,56",,,,,,,,,,,,,,,,,
81,Granola l'original,3770012055080,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,366,15,52,8,,,,,,,,,,,,,,,,,,,,,,,,1531 kj(366 kcal),,2,,25,,"0,3",,"0,12",,,,,,,,,,,,,,,,,
82,Villachica,8437003043130,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Deavas,5425007882841,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SunBest Fruit biscuits,8710508551189,,,,['France'],[],[],?,391,6,77,"5,5",,,,,,,,,,,,,,,,,,,,,,,,1636 kj(391 kcal),,"2,5",,"40,5",,"0,65",,"0,26",,,,,,,,,,,,,,,,,
85,"Zoobidoo Ketchup 80G ""Piet Piraat""",5414359991035,,,,['France'],[],[],?,521,"28,3","59,3","3,8",,,,,,,,,,,,,,,,,,,,,,,,2180 kj(521 kcal),,"2,5",,"3,9",,"2,2",,"0,88",,,,,,,,,,,,,,,,,
86,Chocolat poudre - Chocolaterie Monbana,3474340018587,['Chocolaterie Monbana'],['Fabriqué en France'],,['France'],[],[],?,369,14,39,13,,,,,,,,,,,,,,,,,,,,,,,,1544 kj(369 kcal),,"8,3",,25,,"0,78",,"0,312",,,,,,,,,,,,,,,,,
87,Lait maternel,03719879,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Fromage Gouda,8710306998834,,,,['France'],[],[],?,347,"29,9",0,"22,8",,,,,,,,,,,,,,,,,,,,,,,,1452 kj(347 kcal),,"20,3",,0,,"1,9",,"0,76",,,,,,,,,,,,,,,,,
89,Matcha green tea powder,0609492800152,,,,['France'],[],[],?,10,0,0,1,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,-17%,-100%,-100%,+376%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,42 kj(10 kcal),-12%,0,-100%,0,-100%,0,-100%,0,-100%,2,-52%,C,-52%,,,,,,,,,,,,
90,Haust Toast Rustique Thym et romarin,8710445019896,,,,['France'],[],[],?,434,13,64,13,,,,,,,,,,,,,,,,,,,,,,,,1816 kj(434 kcal),,"4,2",,"8,1",,"1,6",,"0,64",,,,,,,,,,,,,,,,,
91,Tarte abricot,0201639038703,,,,['France'],[],[],?,229,"7,5",37,"3,1",,,,,,,,,,,,,,,,,,,,,,,,958 kj(229 kcal),,"4,5",,23,,"0,13",,"0,052",,,,,,,,,,,,,,,,,
92,Champignons de paris - Bonduelle,3083681093421,['Bonduelle'],,,['France'],[],[],?,19,"0,4","0,9","2,2",,,,,,,,,,,,,,,,,,,,,,,,79 kj(19 kcal),,"0,1",,"0,3",,"0,58",,"0,232",,,,,,,,,,,,,,,,,
93,Stabilité vert fluide,4004675015044,,,,"['France', 'La Réunion']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Confiture de figues,19232311,,['Bio'],,['France'],[],[],?,183,0,45,"0,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,-21%,-100%,-19%,-18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0.06 g,en faible quantité,766 kj(183 kcal),-21%,0,-100%,45,-15%,"0,06",+223%,"0,024",+223%,6,-37%,C,-37%,,,,,,,,,,,,
95,Financiers Nature Bio - Maison Cotte,3770002010655,['Maison Cotte'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],"[""sucre de canne* blancs d'œufs *"", 'beurre*', 'amande en poudre*', 'farine de blé*', ""sirop de maïs *issu de l'agriculture biologique""]",['Non végétalien'],?,648,51,19,4,D,"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",,+43%,+90%,-56%,-51%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,51 g,en quantité élevée,48 g,en quantité élevée,17 g,en quantité élevée,0.02 g,en faible quantité,2711 kj(648 kcal),+43%,48,+278%,17,-48%,"0,02",-94%,"0,008",-94%,21,-3%,E,-3%,,,,,3,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,
96,baguette martino - Cactus,5400501952153,['Cactus'],,,['France'],[],[],?,264,12,27,11,,,,,,,,,,,,,,,,,,,,,,,,1105 kj(264 kcal),,"2,3",,"1,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,
97,Brioche au chocolat - Selex,8003100882226,['Selex'],,,['France'],[],[],?,436,"23,3","47,9","7,7",,,,,,,,,,,,,,,,,,,,,,,,1824 kj(436 kcal),,"10,3",,"14,3",,"0,61",,"0,244",,,,,,,,,,,,,,,,,
98,Travers de bœuf fondant - Bigard,2222603029327,['Bigard'],,,['France'],[],[],?,183,10,"3,2",20,,,,,,,,,,,,,,,,,,,,,,,,766 kj(183 kcal),,"5,3",,"0,6",,"1,1",,"0,44",,,,,,,,,,,,,,,,,
99,8 crêpes sucrées - Dessaint - 400g,57466200,['Dessaint'],"['Sans colorants', 'Sans conservateurs']",,['France'],"['Ingrédients Lait entier en poudre réhydraté ', '56%', 'farine de blé ', '20%', 'sucre ', '10%', 'œufs entiers frais ', '8%', 'huile de colza', 'dextrose', 'amidon transformé poudres à lever ', 'E450', 'E500', 'sel', 'arôme', ' Peut contenir des traces de moutarde', 'soja', 'poisson', 'céleri', 'et sulfites', ' Une crêpe pèse 50g']",['Non végétalien'],?,248,"9,2",35,6,B,"['Crêpes et galettes', 'Crêpes', 'Crêpes sucrées']",,-24%,-21%,-25%,-14%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,9.2 g,en quantité modérée,2.3 g,en quantité modérée,18 g,en quantité élevée,0.54 g,en quantité modérée,1038 kj(248 kcal),-24%,"2,3",-45%,18,-20%,"0,54",-26%,"0,216",-26%,7,-46%,C,-46%,400 g,,,,4,,"['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait']",,,,
100,Poivre cinq baies,3760105206116,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Jardin de paradis - Palais Des Thés,3700256714634,['Palais Des Thés'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Confiture extra Fruits des bois,3760040450100,,['Bio'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Tourte pintade topinambours,3433700016007,,,,['France'],[],[],?,259,15,21,10,,,,,,,,,,,,,,,,,,,,,,,,1084 kj(259 kcal),,10,,"2,5",,"1,3",,"0,52",,,,,,,,,,,,,,,,,
104,Green Tea Lemon,5410138028695,,,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,うまい Sittori choco - 33g,4903013034221,,,,['France'],[],[],?,582,"38,5","53,3","5,76",,,,,,,,,,,,,,,,,,,,,,,,2430 kj(582 kcal),,,,,,"0,182",,"0,073",,,,,,33 g,,,,,,,,,,,
106,So British while organic milk,01208443,,,,['France'],[],[],?,67,4,"4,5","3,3",,,,,,,,,,,,,,,,,,,,,,,,280 kj(67 kcal),,"2,6",,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
107,Feta,0838948011679,,,,['France'],[],[],?,271,23,"0,3",15,,,,,,,,,,,,,,,,,,,,,,,,1134 kj(271 kcal),,16,,"0,3",,"2,2",,"0,88",,,,,,,,,,,,,,,,,
108,Plazma - Bambi - 10.6oz,8600043023411,['Bambi'],,,['France'],[],[],?,438,"12,5","69,4","10,5",,,,,,,,,,,,,,,,,,,,,,,,1833 kj(438 kcal),,6,,"19,1",,"0,75",,"0,3",,,,,,10.6 oz,,,,,,,,,,,
109,Smoothie ananas carottes passion allaitement,3700653800114,,['Bio'],,['France'],[],[],?,53,"0,5",12,"0,6",,,,,,,,,,,,,,,,,,,,,,,,222 kj(53 kcal),,0,,12,,"0,1",,"0,04",,,,,,,,,,,,,,,,,
110,HP switch,3700654277045,,,,"['France', 'La Réunion']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Breakfast protein Almond butter - Kind,0602652203008,['Kind'],['en:gluten-free'],,['France'],[],[],?,440,20,52,16,,,,,,,,,,,,,,,,,,,,,,,,1841 kj(440 kcal),,2,,20,,0,,0,,,,,,,,,,,,,,,,,
112,Lait des campagne du centre de la France - Carrefour,5563658483465,['Carrefour'],,['Carrefour'],['France'],[],[],?,46,16,48,32,,,,,,,,,,,,,,,,,,,,,,,,192 kj(46 kcal),,1,,48,,13,,"5,2",,,,,,,,,,,,,,,,,
113,Thé brûle-graisse - BiOrigine,84938527,['BiOrigine'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Gâteau aux ananas - 150g,4710057190789,,,,['France'],[],[],?,441,"17,7","66,1","4,4",,,,,,,,,,,,,,,,,,,,,,,,1845 kj(441 kcal),,"10,2",,"28,3",,"0,2",,"0,08",,,,,,150 g,,,,,,,,,,,
115,Shape & Control - Protein shake - Purasana,5400706203777,['Purasana'],"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,337,"3,2",7,64,,,,,,,,,,,,,,,,,,,,,,,,1410 kj(337 kcal),,"0,5",,6,,3,,"1,2",,,,,,,,,,,,,,,,,
116,Filets de poulet fermier - Carrefour,0287567056743,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Jambon,2470527030244,,,,['France'],[],[],?,123,"3,1","0,5",23,,,,,,,,,,,,,,,,,,,,,,,,515 kj(123 kcal),,"1,4",,"0,5",,2,,"0,8",,,,,,,,,,,,,,,,,
118,Tarte Normande,0203702038702,,,,['France'],[],[],?,306,15,39,"3,7",,,,,,,,,,,,,,,,,,,,,,,,1280 kj(306 kcal),,"9,5",,22,,"0,22",,"0,088",,,,,,,,,,,,,,,,,
119,On the go greec style yogurt - By Sainsbury's,00293341,"[""By Sainsbury's""]",,,"['France', 'Royaume-Uni']",[],[],?,496,"3,2","17,7","4,3",,,,,,,,,,,,,,,,,,,,,,,,2075 kj(496 kcal),,"1,1",,"11,6",,"0,17",,"0,068",,,,,,,,,,,,,,,,,
120,Duo noisettes cacao et vanille,0059749963558,,,,['France'],[],[],?,110,6,13,1,,,,,,,,,,,,,,,,,,,,,,,,460 kj(110 kcal),,2,,13,,1,,"0,4",,,,,,,,,,,,,,,,,
121,Conchiglie aux legumes grilles - Par Ici Cuisine,3701138135592,"['Par Ici Cuisine', ""L'Esprit Frais""]",,,['France'],"['Pâtes coquillages 39,7% ', 'eau', 'semoule de blé dur', 'sel', 'curcuma', 'légumes grillés 31,8% ', 'courgette', 'poivron jaune', 'poivron rouge', 'tomate concassée 13,9% ', 'tomates', 'jus de tomate', 'acidifiant acide citrique', 'préparation à base de tomate 7% ', 'tomate', 'huile de tournesol', 'sucre', 'sel', 'oignon', 'ail', 'oignon', ""huile d'olive vierge extra"", 'concentré de tomate', 'sel', 'beurre', 'huile de colza', 'ail', 'thym', 'poivre blanc', ' Traces éventuelles de céleri']",['Non végétalien'],?,77,"2,9",10,"2,1",,"['Plats préparés', 'Plats à base de pâtes']",,-57%,-54%,-52%,-72%,,,,,,,,"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",2.9 g,en faible quantité,0.6 g,en faible quantité,2.6 g,en faible quantité,0.38 g,en quantité modérée,322 kj(77 kcal),-57%,"0,6",-75%,"2,6",+7%,"0,38",-58%,"0,152",-58%,-1,-127%,A,-127%,,,,,3,,['E330 - Acide citrique'],['Lait'],,,,
122,Petits pains céréales sans gluten ×4,0202661025587,,['en:gluten-free'],,['France'],[],[],?,313,"16,7","26,8","6,4",,,,,,,,,,,,,,,,,,,,,,,,1310 kj(313 kcal),,"1,76",,"4,65",,"0,76",,"0,304",,,,,,,,,,,,,,,,,
123,Saucisson - Boni,0296299079630,['Boni'],,,['France'],[],[],?,264,18,1,24,,,,,,,,,,,,,,,,,,,,,,,,1105 kj(264 kcal),,6,,1,,4,,"1,6",,,,,,,,,,,,,,,,,
124,Durian -,550026,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Riz basmati - 7kg,16359630,,,,['France'],[],[],?,351,"0,5",77,9,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,+7%,-52%,+8%,+19%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,1469 kj(351 kcal),+6%,"0,1",-58%,"0,1",-59%,"0,01",-72%,"0,004",-72%,-1,,A,,7 kg,,,,,,,,,,,
126,Crottes de marmotte,3663350064879,,,,['France'],[],[],?,500,25,63,"6,2",,,,,,,,,,,,,,,,,,,,,,,,2092 kj(500 kcal),,15,,51,,"0,24",,"0,096",,,,,,,,,,,,,,,,,
127,Les quenelles de Lyon - 45g,3327370609426,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 g,,,,,,,,,,,
128,Blancheur menthe polaire sans sucres - Hollywood,8822279723181,['Hollywood'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Club jambon - 220g,3496100007310,,['Point Vert'],,['France'],[],[],?,242,"10,5","55,3","10,3",,,,,,,,,,,,,,,,,,,,,,,,1013 kj(242 kcal),,4,,"0,3",,"1,4",,"0,56",,,,,,220 g,,,,,,,,,,,
130,Sandwich Jambon fromage - 160g,3496100002285,,,,['France'],[],[],?,281,"15,1","23,1","12,4",,,,,,,,,,,,,,,,,,,,,,,,1176 kj(281 kcal),,"10,1",,"0,7",,"1,1",,"0,44",,,,,,160 g,,,,,,,,,,,
131,Cake de riz courgettes et olives noires - Légendes Gourmandes,3760155985092,['Légendes Gourmandes'],,,['France'],[],[],?,356,"6,2",63,"9,4",,,,,,,,,,,,,,,,,,,,,,,,1490 kj(356 kcal),,"0,97",,"6,6",,"0,69",,"0,276",,,,,,,,,,,,,,,,,
132,Petites navettes provençales,3770002192047,,,,['France'],[],[],?,460,"14,9","73,5","6,8",,,,,,,,,,,,,,,,,,,,,,,,1925 kj(460 kcal),,"7,29",,"29,9",,"0,89",,"0,356",,,,,,,,,,,,,,,,,
133,4 nems poulet avec sauce,0205856012317,,['Sans conservateurs'],,['France'],[],[],?,203,"9,8",21,"6,8",C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Nems', 'Nems au poulet']",,+2%,+24%,-8%,-5%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,9.8 g,en quantité modérée,1.7 g,en quantité modérée,1.6 g,en faible quantité,0.9 g,en quantité modérée,849 kj(203 kcal),+2%,"1,7",+34%,"1,6",-39%,"0,9",-29%,"0,36",-29%,2,-53%,B,-53%,,,,,,,,,,,,
134,Pâte tomato et olives,5400139012595,,,,['France'],[],[],?,212,"6,7","28,1","9,5",,,,,,,,,,,,,,,,,,,,,,,,887 kj(212 kcal),,"0,9",,"3,4",,"1,84",,"0,736",,,,,,,,,,,,,,,,,
135,Superfruits - Daco Bello - 125g,3270720445703,['Daco Bello'],,,['France'],[],[],?,340,"1,9",77,"0,9",,,,,,,,,,,,,,,,,,,,,,,,1423 kj(340 kcal),,"0,6",,"63,5",,"0,02",,"0,008",,,,,,125 g,,,,,,,,,,,
136,Les chips carotte,4250078920397,,,,['France'],[],[],?,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,
137,La Dunkerquoise Porc et Veau,2497500082700,,,,['France'],[],[],?,239,19,"0,8",16,,,,,,,,,,,,,,,,,,,,,,,,1000 kj(239 kcal),,"7,6",,"0,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,
138,Squbes,5391520170577,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,545,"35,1","34,6","16,2",,,,,,,,,,,,,,,,,,,,,,,,2280 kj(545 kcal),,"14,7",,"12,3",,"1,6",,"0,64",,,,,,,,,,,,,,,,,
139,Canette,0213762056943,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Iso 100% Whey Zero,3525722024327,,,,['France'],[],[],?,403,"4,8","4,2",85,,,,,,,,,,,,,,,,,,,,,,,,1686 kj(403 kcal),,"3,6",,"3,1",,"1,07",,"0,428",,,,,,,,,,,,,,,,,
141,200 gelules Marc de Raisin bio - 65g,3700216222957,,"['Bio', 'Ecocert']",,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,"['EMB 40168A', 'Magescq (Landes, France)']",,,,,,,,,,,,,,,,,,,,,,,65 g,,,,,,,,,,,
142,Magné control,3770000670509,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,3473313502559,3473313502559,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Baguette provençale 250 g - Casino,3602826451652,['Casino'],,['Casino'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Les milanaises,2255145082390,,,,['France'],[],[],?,165,6,11,16,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",,+25%,+285%,+60%,-25%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,690 kj(165 kcal),+26%,"3,2",+502%,"1,9",+3%,"1,4",+55%,"0,56",+55%,11,+1501%,D,+1501%,,,,,,,,,,,,
146,Ananas cube - Meyva - 250g,3418659880770,['Meyva'],,,['France'],[],[],?,357,0,86,12,,,,,,,,,,,,,,,,,,,,,,,,1494 kj(357 kcal),,0,,85,,0,,0,,,,,,250 g,,,,,,,,,,,
147,La Blanche,0634154302392,,,,['France'],[],[],?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Éclair au chocolat,0240005026241,,,,['France'],[],[],?,273,16,31,"3,5",,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",,+7%,+30%,-2%,-20%,,,,,,,,,16 g,en quantité modérée,4.3 g,en quantité modérée,19 g,en quantité élevée,0.46 g,en quantité modérée,1142 kj(273 kcal),+7%,"4,3",-26%,19,-6%,"0,46",+20%,"0,184",+20%,13,+1%,D,+1%,,,,,,,,,,,,
149,Bretzel Gratine fromage lardon - Poulaillon - 100g,3581081112808,['Poulaillon'],,,['France'],[],[],?,318,"14,1","31,7",15,,,,,,,,,,,,,,,"['EMB 68375A', 'Wittelsheim (Haut-Rhin, France)']",,,,,,,,,1331 kj(318 kcal),,"6,7",,"2,2",,"1,6",,"0,64",,,,,,100 g,,,,,,,,,,,
150,Maïs grillés salés - Profruit - 500g,53239563,['Profruit'],,,['France'],[],[],?,439,12,77,"6,4",,"['en:roasted corn kernels', 'Maïs grillé et salé']",,-1%,-3%,+15%,-5%,,,,,,,,,12 g,en quantité modérée,4.7 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,1837 kj(439 kcal),-1%,"4,7",+6%,"0,5",-28%,"2,9",+42%,"1,16",+42%,19,+16%,E,+16%,500 g,,,,,,,,,,,
151,Chocolaterie monbana,3474340098497,"['Monbana', 'Chocolaterie Monbana']",,,['France'],[],[],?,575,40,38,12,,,,,,,,,,,,,,,,,,,,,,,,2406 kj(575 kcal),,16,,36,,"0,11",,"0,044",,,,,,,,,,,,,,,,,
