,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
1835,Brioche Tranchée Artisanale - Bertine - 500g,3547652100100,C,"['Bertine', 'SARL Galettes du Bocage', 'Galettes du Bocage']","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",['France'],"['FARINE ', 'GLUTEN', 'BEURRE', 'ŒUFS', 'levure', 'sel', 'rhum', 'E471 et arômes naturels']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,348,-1%,"12,1",-2%,51,-1%,"8,6",+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,1456 kj(348 kcal),"7,9","18,7","0,71","0,284",500 g,12.1 g,en quantité modérée,7.9 g,en quantité élevée,18.7 g,en quantité élevée,0.71 g,en quantité modérée,-2%,+31%,+41%,-29%,-29%,18,+21%,D,+21%,"['Sachet', 'Plastique']","['Œufs', 'Gluten', 'Lait', 'FARINE']",4,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,Brioche au beurre - Brioche Tranchée Artisanale,,,,
1836,Vive le thé ! Green tea ginger & citrus - Palais des Thés,3700256703515,B,['Palais des Thés'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Pur jus orange de Grèce,09444553,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",['France'],[],[],?,,34,-21%,0,-100%,"8,6",-11%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,142 kj(34 kcal),0,"8,6",0,0,,0 g,en faible quantité,0 g,en faible quantité,8.6 g,en quantité élevée,0 g,en faible quantité,-22%,-100%,-6%,-100%,-100%,1,-66%,B,-66%,,,,['Bio'],,,,,,,,,,
1838,Jambon de dinde - kenza - 120g,3378740887814,B,['Kenza'],"['Viandes', 'Charcuteries', 'Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au jambon', 'Sandwichs à la volaille', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Sandwichs à la dinde', 'Sandwichs au jambon de dinde']",['France'],[],[],?,,100,-60%,"3,5",-67%,"3,3",-87%,14,+30%,68.6%,15.2%,6.7%,5.8%,2.9%,0.8%,75,418 kj(100 kcal),"0,9","0,8","2,9","1,16",120g,3.5 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en faible quantité,2.9 g,en quantité élevée,-59%,-77%,-74%,+93%,+93%,11,+8%,D,+8%,,,,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",['Framprix'],,,,,,,,,
1839,Pain surprise des régions - Tipiak,3450350035059,,['Tipiak'],"['Sandwichs', 'Pains surprise']",['France'],[],[],?,,262,+2%,14,+32%,23,-22%,"9,4",+3%,,,,,,,,1096 kj(262 kcal),6,"2,5","1,4","0,56",,14 g,en quantité modérée,6 g,en quantité élevée,2.5 g,en faible quantité,1.4 g,en quantité modérée,+2%,+41%,-40%,+15%,+15%,14,+42%,D,+42%,,,,,,,,,,,,,,
1840,Eco+,3450970133609,,['Eco+'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Bio Schlagsahne - Milbona - 200g,20570934,,['Milbona'],,['France'],[],[],?,,295,,30,,"3,6",,"2,7",,,,,,,,,1234 kj(295 kcal),"18,9","3,6","0,13","0,052",200 g,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1842,Huile de tournesol,5400101052208,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],?,,828,-5%,92,-5%,0,-100%,0,-100%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,3464 kj(828 kcal),10,0,0,0,,92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-5%,-6%,-100%,-100%,-100%,11,0%,D,0%,,,,,,,,,,,,,,
1843,Fromage blanc nature,3760168570797,C,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs natures']",['France'],[],[],?,,102,+24%,"6,8",+71%,"4,9",+18%,"5,4",-21%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,427 kj(102 kcal),"4,3",3,"0,1","0,04",,6.8 g,en quantité modérée,4.3 g,en quantité modérée,3 g,en faible quantité,0.1 g,en faible quantité,+25%,+67%,-23%,-3%,-3%,2,,B,,,,,,,,,,,,,,,
1844,Pinces de crabe panées,3456470202678,,,,['France'],[],[],?,,157,,"2,54",,"26,48",,7,,,,,,,,,657 kj(157 kcal),"1,8","2,39","1,51","0,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,Confiture de Noël - Les Comtes de Provence - 350g,3324498002085,C,['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",['France'],"['Fruits et fruits secs 64% ', 'fraise', 'cerise', 'framboise', 'raisins secs', 'noix', 'noisettes', 'sucre de canne', 'acidifiant: jus concentré de citron', 'gélifiant: pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,192,-14%,"2,2",+740%,42,-21%,1,+93%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,803 kj(192 kcal),"0,2",42,"0,05","0,02",350 g,2.2 g,en faible quantité,0.2 g,en faible quantité,42 g,en quantité élevée,0.05 g,en faible quantité,-13%,+302%,-18%,+116%,+116%,7,-25%,C,-25%,"['Pot', 'Verre']",['Fruits à coque'],4,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['E440 - Pectines'],,"['Peyruis', 'France', 'Provence']",,Confiture de Fruits Rouges et Fruits Secs Bio,,,,
1846,Morceaux a bourguignon - 600g,3266110093173,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,600 g,,,,,,,,,,,,,,,,,,"['Barquette en plastique', 'Film en plastique']",,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,
1847,Emincés De Veau 160gr - Tendriade,3384480029513,,['Tendriade'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,
1848,Aiki Pasta Bolognese,5414972123172,,,,['France'],[],[],?,,95,,"0,9",,17,,"3,8",,,,,,,,,397 kj(95 kcal),"0,4","3,3","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Foie gras de canard entier du sud ouest - Micouleau,3397132100300,B,['Micouleau'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",['France'],"['Foie gras de canard', 'sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,484,-9%,50,-8%,"1,6",-33%,"6,9",-8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,2025 kj(484 kcal),23,"0,2",1,"0,4",,50 g,en quantité élevée,23 g,en quantité élevée,0.2 g,en faible quantité,1 g,en quantité modérée,-8%,-1%,-85%,-17%,-17%,20,-4%,E,-4%,,,3,,,,,,"['FR 82.013.004 CE', 'Beaumont-de-Lomagne (Tarn-et-Garonne, France)']",,,,,
1850,Cafe macinato roma - Bialetti,8006363024358,,['Bialetti'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,
1851,"Vermicelle ""Cheveux d'ange"" - Panzani",3038350211309,,['Panzani'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Vermicelles de blé dur']",['France'],[],[],?,,365,+4%,2,+16%,72,+12%,13,+11%,,,,,,,,1527 kj(365 kcal),"0,35","3,7","0,013","0,005",,2 g,en faible quantité,0.35 g,en faible quantité,3.7 g,en faible quantité,0.013 g,en faible quantité,+3%,+3%,+40%,-39%,-39%,-1,,A,,,,,,,,,,,,,,,
1852,Abondance au lait cru,2210158024140,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",['France'],[],[],?,,401,0%,33,0%,0,-100%,25,-0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1678 kj(401 kcal),23,0,2,"0,8",,33 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,-0%,+6%,-100%,+27%,+27%,18,+14%,D,+14%,,,,,,,,,,,,,,
1853,3760206360830,3760206360830,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Polvoron Selecto,8410282206236,,,,['France'],[],[],?,,490,,"25,45",,"54,88",,"7,71",,,,,,,,,2050 kj(490 kcal),"6,96","26,19","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,Soupe de petits légumes au pistou,3760242000103,,,"['Plats préparés', 'Soupes', 'Soupes au pistou']",['France'],[],[],?,,77,+33%,"3,4",+93%,"8,3",+53%,"2,2",+22%,,,,,,,,322 kj(77 kcal),"0,4","1,1","0,9","0,36",,3.4 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en faible quantité,0.9 g,en quantité modérée,+35%,+31%,-14%,+22%,+22%,2,-10%,B,-10%,,,,,,,,,,,,,,
1856,Milk chocolate with whole almonds - Lindt,7610400073790,E,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",['France'],"['sucre', 'beurre de cacao', 'amandes 15%', 'lait entier en poudre', 'pâte de cacao', 'lactose', 'lait écrémé en poudre', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arôme', "" Peut contenir des noisettes et d'autres fruits à coque"", ' Le chocolat au lait contient cacao: 31% min']",['Non végétalien'],?,,552,-1%,34,-5%,51,+7%,"8,7",-3%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,2310 kj(552 kcal),17,48,"0,19","0,076",,34 g,en quantité élevée,17 g,en quantité élevée,48 g,en quantité élevée,0.19 g,en faible quantité,-0%,-5%,+7%,-26%,-26%,26,+4%,E,+4%,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,['E322i - Lécithine'],,,,,,,,
1857,Mini mints - Halls,57023656,,['Halls'],,['France'],[],[],?,,30,,6,,5,,3,,,,,,,,,126 kj(30 kcal),3,4,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Bioprotus Enfants - Carrare Laboratoire,3401560270518,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
1859,Le poulet de ma region,2208455046316,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,Salade aux poisson a l italienne - 350g,5425012917064,,,,['France'],[],[],?,,367,,"27,2",,"3,8",,"10,1",,,,,,,,,1536 kj(367 kcal),"2,2","3,1","2,4","0,96",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Philadelphia herbe de provence,7622210945600,,['Philadelphia'],,['France'],[],[],?,,215,,20,,"3,9",,"5,3",,,,,,,,,900 kj(215 kcal),13,"3,9","0,83","0,332",,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
1862,Eau petillante - Eco+,3450970154574,,['Eco+'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,Shortbread - Marks & Spencer,00184281,C,"['Marks & Spencer', 'Bold']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']","['France', 'Royaume-Uni']","['Farine de blé contient du gluten ', 'avec de la farine de blé', 'du carbonate de calcium', 'du fer', 'de la niacine et de la thiamine', 'beurre non salé ', 'lait', ' ', '34%', ' - sucre en poudre - farine de maïs - farine de riz - sel - agent levant : bicarbonate de sodium']",['Non végétalien'],?,,516,-0%,"28,2",+1%,"58,5",-3%,"5,7",+3%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,2159 kj(516 kcal),16,"14,7","0,75","0,3",,28.2 g,en quantité élevée,16 g,en quantité élevée,14.7 g,en quantité élevée,0.75 g,en quantité modérée,-1%,-4%,-23%,+13%,+13%,22,+4%,E,+4%,"['métal', 'plastique', 'boîte', '', 'sleeve', 'steel-can', 'pet-tray', 'paper-sleeve', 'mixed plastic-film']","['Gluten', 'Lait']",3,"['Edition limitée', 'Pur beurre']",['Marks & Spencer'],"['E502 - Carbonates', 'E500ii - Carbonate acide de sodium']",,"['Royaume-Uni', 'Écosse', 'Edimbourg']",,Assortiment de sablés pur beurre écossais - All Butter Scottish Shortbread Assortment,,,,
1864,Bonbons durs au Caramel - Stork - 135g,0072799329747,,['Stork'],,"['Canada', 'France']","['SUGAR', 'GLUCOSE SYRUP ', 'WHEAT', 'CREAM ', 'MILK', 'CONDENSED WHEY', 'BUTTER', 'CANE SUGAR SYRUP', 'SALT', 'SOY LECITHIN', 'ARTIFICIAL FLAVOUR', ' ALLERGY INFORMATION: MAY ALSO CONTAIN HAZELNUTS', 'ALMONDS', 'PEANUTS AND OTHER NUTS']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,20,,"0,4",,5,,0,,,,,,,,,84 kj(20 kcal),0,3,0,0,135 g,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Soja']",4,['Fabriqué en Allemagne'],,['E322i - Lécithine'],,,,,,,,
1865,brioche vendeenne - thomas - 300g,11377290,C,['Thomas'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre', 'Brioches Vendéennes']",['France'],"['Forine de blé ', 'gluten', 'oeufs frais', 'beurre 14,7%', 'sucre', 'levain farine de blé', ' eau', 'rhum', 'sel de Noirmoutier ou de Guerande', ' levure', ' Dorure: Oeufs Contient: gluten', 'ceufs et lait', ' Traces de soja']",['Non végétalien'],?,,?,,?,,?,,?,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,300g,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",4,['Label Rouge'],['Monoprix'],,,['les essarts Vendée'],,,,,,
1866,Galettes de riz non salees - Ekoland,8711997005337,B,['Ekoland'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz complet soufflé']",['France'],"['riz complet""', ""graines de sésame *Issus de l'agriculture biologique contrôlée"", ' Peut contenir des traces de lait et de soja']",[],?,,384,-3%,"3,3",-22%,78,-1%,"8,6",+8%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,1607 kj(384 kcal),"0,7","0,6","0,01","0,004",,3.3 g,en quantité modérée,0.7 g,en faible quantité,0.6 g,en faible quantité,0.01 g,en faible quantité,-4%,-50%,-76%,-96%,-96%,-1,-1700%,A,-1700%,,,1,['Bio'],,,,,,,,,,
1867,Barre Protéinée - graines de citrouille toastées - noisettes,3770009699259,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['France'],[],"['Végétalien', 'Végétarien']",?,,450,+21%,"30,38",+134%,"15,27",-53%,"27,21",-7%,,,,,,,,1883 kj(450 kcal),"7,47","14,3","0,34","0,136",,30.4 g,en quantité élevée,7.47 g,en quantité élevée,14.3 g,en quantité élevée,0.34 g,en quantité modérée,+21%,+27%,+8%,-31%,-31%,16,+55%,D,+55%,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Fabriqué en France', 'AB Agriculture Biologique']",,,,,,,,,,
1868,Amandes decortiquées,3700146205686,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],?,,611,-3%,50,-3%,"9,1",-31%,25,+12%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,2556 kj(611 kcal),4,"4,4","0,001",0,,50 g,en quantité élevée,4 g,en quantité modérée,4.4 g,en faible quantité,0.001 g,en faible quantité,-2%,-0%,+13%,-96%,-96%,0,,B,,,,,,,,,,,,,,,
1869,Compote pomme fraise,4062300321137,,,,['France'],[],[],?,,203,,"0,1",,"10,7",,"0,2",,,,,,,,,849 kj(203 kcal),0,"10,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,
1870,Quark Fraises - Flor de Burgos - 450g,8436039434912,D,['Flor de Burgos'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages à la crème']",['France'],[],[],?,,92,-12%,"0,2",-94%,15,+32%,7,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,385 kj(92 kcal),"0,1","13,7","0,3","0,12",450g,0.2 g,en faible quantité,0.1 g,en faible quantité,13.7 g,en quantité élevée,0.3 g,en quantité modérée,-11%,-95%,+32%,+159%,+159%,1,-7%,B,-7%,['Frais'],,,['en:gluten-free'],,,,,,,,,,
1871,Plantation Riachuelo - Michel Cluizel,0659253121590,E,['Michel Cluizel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"[""cacao d'origine plantation Riachuelo' "", 'Brésil', 'sucre beurre de cacao', 'vanille Bourbon en gousse', ' Présence possible de fruits à coque', 'lait', 'gluten']",['Non végétalien'],?,,570,+3%,"42,1",+7%,"44,6",+16%,"7,4",-3%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2385 kj(570 kcal),26,"30,2","0,02","0,008",,42.1 g,en quantité élevée,26 g,en quantité élevée,30.2 g,en quantité élevée,0.02 g,en faible quantité,+3%,+13%,-5%,-57%,-57%,23,+8%,E,+8%,,"['Gluten', 'Lait']",4,,,,,,,,,,,
1872,Piémontaise - Bonduelle - 320g,12222922,C,['Bonduelle'],"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises']",['France'],"['Pommes de terre ', '459%', 'mais doux ', '136', ""émincés de viande de Cuisse de poulet traité en salaison cuit roti' "", '10%', ' ', 'viande de cuisse de poulet ', '9%', 'eau', 'fécule de manioc', 'dextrose', 'sel', 'tomates ', '9,5% ', 'huile de colza', 'eau', 'vinaigre dalcool', 'ceuf dur ', '296', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'inaigre dalcool', 'sel', 'sel', ""jaune d'oeuf en poudre"", 'basilic ', '0,29%', 'aromes natures', 'epaississants: gomme guar', 'gomme xanthane', ' Fabriqué dans un atelier utilisant egalement: lait', 'gluten', 'céleri', 'poisson', 'crustacé', 'mollusque', ' VOLAILLE FRANCAISE 0g 5g Sans Conservateur et Sans Arôme Artificiel', ' A consommer sous 48h']","['Non végétalien', 'Non végétarien']",?,,127,-15%,9,-16%,7,-14%,"3,5",-17%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,531 kj(127 kcal),"0,9","1,5","0,66","0,264",320g,9 g,en quantité modérée,0.9 g,en faible quantité,1.5 g,en faible quantité,0.66 g,en quantité modérée,-14%,-15%,+86%,-33%,-33%,-1,-131%,A,-131%,,['Moutarde'],4,"['Sans arômes artificiels', 'Sans conservateurs']",,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,,,,,,,
1873,Sandwich parisien,3760270250099,,,,['France'],[],[],?,,247,,"5,5",,36,,12,,,,,,,,,1033 kj(247 kcal),"2,6","1,2","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Weiss Lebkuchen-herzen Zartbitter,4003160271309,B,['Weiss'],"['Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],"['Végétalien', 'Végétarien']",?,,384,+14%,"9,8",+181%,"66,6",-6%,"5,6",+29%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,1607 kj(384 kcal),"6,1",36,"0,32","0,128",,9.8 g,en quantité modérée,6.1 g,en quantité élevée,36 g,en quantité élevée,0.32 g,en quantité modérée,+13%,+392%,-11%,-27%,-27%,18,+28%,D,+28%,,,,"['Végétarien', 'Végétalien', 'Fabriqué en Allemagne']",,,,,,,,,,
1875,Miel de printemps - 500g,3770001568010,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Soda,8901764072277,,,"['Boissons', 'Boissons gazeuses', 'Sodas']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,TCHINA,6130234004032,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,Sauce soja sucree,2002657034108,B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja sucrées']",['France'],[],[],?,,?,,?,,?,,?,,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,Kombucha pomme et menthe -,5407005240014,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']","['Belgique', 'France']",[],[],?,,15,-17%,"0,2",+317%,"3,8",-1%,"0,2",+175%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,63 kj(15 kcal),"0,1","3,8",0,0,,,,,,,,,,-16%,+258%,+11%,-100%,-100%,6,+5%,D,+5%,,,,,,,,,,,,,,
1880,Préparation pour Grog,3515450041611,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,
1881,LILT lata ananas et pamplemousse,5449000010711,,,,['France'],[],[],?,,20,,0,,"4,6",,0,,,,,,,,,84 kj(20 kcal),0,"4,6",0,0,,,,,,,,,,,,,,,,,,,['aluminium-can'],,,,,,,,,,,,,
1882,"Pic Frisch, Frischkäse Pfeffer",20012250,,,,['France'],[],[],?,,304,,"27,7",,"5,1",,0,,,,,,,,,1272 kj(304 kcal),"17,4","3,3","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,Croccanti cookies - Lindt,8003340011127,,"['Lindt', 'Lindt & Sprüngli']",,['France'],[],[],?,,523,,29,,59,,"5,7",,,,,,,,,2188 kj(523 kcal),18,36,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,Rice Curry Aïki,5414972123158,,,,['France'],[],[],?,,98,,1,,19,,"2,6",,,,,,,,,410 kj(98 kcal),"0,2","1,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Soja Sauce - 150mg,4002674317084,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,6,,"8,5",,,,,,,,,,,"4,8",,,150mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Boulettes de boeuf,0660989030582,,,,['France'],[],[],?,,121,,"3,6",,"16,4",,"7,5",,,,,,,,,506 kj(121 kcal),"0,6","0,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,3515451067399,3515451067399,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Velouté de carottes,3300060400145,,,,['France'],[],[],?,,33,,1,,5,,"0,5",,,,,,,,,138 kj(33 kcal),"0,7","1,7","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,
1889,Cœurs d'artichauts en Quartier - 300g,3267180359138,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",['France'],[],[],?,,150,+200%,"0,2",-88%,"2,7",-41%,"3,3",+90%,,,,,,,,628 kj(150 kcal),0,"1,3","0,2","0,08",300 g,0.2 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0.2 g,en faible quantité,+203%,-100%,+7%,-77%,-77%,-6,,A,,,,,,,,,,,,,,,
1890,Visschnitzels - Iglo,8717774266397,,['Iglo'],,['France'],[],[],?,,247,,13,,19,,13,,,,,,,,,1033 kj(247 kcal),"1,5","1,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,
1891,8410259103032,8410259103032,,,,"['France', 'Espagne']",[],[],?,,147,,85,,6,,"11,5",,,,,,,,,615 kj(147 kcal),55,6,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
