,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
323,Hachis parmentier - Thiriet - 1Kg,E,,['Thiriet'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']","['Viande Française', 'Viande-bovine-francaise']",,['France'],"['Purée de pommes de terre 58,4% ', 'eau', 'pomme de terre déshydratée 7,3% ', 'pomme de terre', 'émulsifiant : mono - et diglycérides d’acides gras', 'crème fraîche 5%', 'poudre de lait écrémé', 'poudre de lait entier', 'beurre 1,1%', 'sel', 'épices', 'viande bovine française 25%', 'eau', 'oignon 2,3%', 'pomme de terre déshydratée 1,7% ', 'pomme de terre', 'émulsifiant : mono - et diglycérides d’acides gras', 'chapelure 1,5% ', 'dont blé', 'poireau 1,1%', 'carotte', 'huile de tournesol', 'arôme naturel', 'ail', 'vin blanc', 'épices et plantes aromatiques 0,1%', 'oignon en poudre', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",599,+23%,?,,"7,7",+26%,"10,5",+5%,"7,4",+19%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,1 Kg,['Thiriet'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Lait'],4,,7.7 g,en quantité modérée,3.9 g,en quantité modérée,2 g,en faible quantité,0.71 g,en quantité modérée,599 kj(143 kcal),+16%,"3,9",+34%,2,+24%,"0,71",-3%,"0,284",-3%,2,-31%,B,-31%,,,"https://www.thiriet.com/produits/plats_cuisines/plats_a_partager/les_gratins/hachis_parmentier,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1TRkFNMS0wOS0wNCZwcm9kdWl0X2lkPTg4NjUw",,
324,Hachis parmentier - Toupargel - 900g,E,,['Toupargel'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",,,['France'],"['Flocons de pommes de terre réhydratés ', '41,2%', ' ', 'eau', 'pommes de terre déshydratées ', '21,5%', ""émulsifiant : mono - et diglycérides d'acides gras d'origine végétale"", 'stabilisant : diphosphate disodique', 'extrait de curcuma', 'conservateur : disulfite de sodium', 'acidifiant : acide citrique', ""antioxydant : esters d'acides gras de l'acide ascorbique"", 'viande bovine ', '17,8%', '*', 'lait écrémé réhydraté', 'eau', 'oignons en cubes', 'margarine végétale ', 'huiles végétales de colza non hydrogénées', 'eau', ""émulsifiant : mono - et diglycérides d'acides gras d'origine végétale"", 'sel', ""correcteur d'acidité : acide citrique"", 'chapelure ', '1,3%', ' ', 'farine de blé', 'levure', 'sel', 'vin blanc ', 'contient sulfites', 'carottes en cubes', 'amidon transformé de\rpommes de terre', 'sel', 'arôme naturel ', 'contient blé', 'bouillon de boeuf ', 'arômes naturels', 'sel', 'eau', 'sucre', 'lactose', 'maltodextrine de blé', 'extrait de bœuf', 'huile végétale de tournesol non hydrogénée', 'cacao maigre en poudre', 'colorant : caramel ordinaire', 'thym', ""arôme naturel d'oignon"", 'poivre blanc', 'muscade moulue']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",450,-7%,?,,"5,3",-14%,7,-30%,"7,3",+18%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,900 g,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide', 'E100 - Curcumine', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E304 - Acide palmityle-6-L-ascorbique', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,5.3 g,en quantité modérée,2.1 g,en quantité modérée,1.3 g,en faible quantité,0.7 g,en quantité modérée,450 kj(108 kcal),-13%,"2,1",-28%,"1,3",-19%,"0,7",-4%,"0,28",-4%,1,-65%,B,-65%,,,https://www.toupargel.fr/4103-hachis-parmentier-900-g.html,,
325,Lasagnes à la bolognaise - Toupargel - 1kg,D,,['Toupargel'],"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",,,['France'],"['Eau', ' semoule de blé dur', 'viande bovine* ', '9,9%', 'tomates pelées concassées ', '4,4%', ' ', 'tomates en cubes ', '70%', 'jus de tomates', ""correcteur d'acidité : acide citrique"", 'double concentré de tomates ', '4,2%', 'oignons blancs en cubes ', '3,8%', 'margarine végétale ', 'huiles végétales de colza non hydrogénées', 'eau', ""émulsifiant : mono et diglycérides d'acides gras d'origine végétale"", 'sel', ""correcteur d'acidité : acide citrique"", 'farine de blé', 'emmental râpé ', '2,4%', ' ', 'lait de vache', 'sel', 'présure', 'ferments lactiques', 'antiagglomérant : amidon de pommes de terre', 'lait écrémé en poudre', 'amidon transformé de pommes de terre', ""préparation d'oeufs pasteurisés "", ""blanc d'oeuf "", '67%', 'œufs entiers ', '28%', 'sel', 'préparation à base de jus de veau ', 'arômes naturels', 'maltodextrine de blé et/ou maïs', 'sel', 'dérivés laitiers', 'amidon transformé de manioc', 'dextrose de blé et /ou maïs', 'acidifiants : acide lactique - lactate de calcium', 'viande de veau', 'sel', 'basilic en flocons', ""pulpe d'ail"", 'thym', 'noix de muscade moulue', 'poivre blanc', 'maltodextrine de maïs', 'origan', '\rContient lait', 'gluten et oeufs', '\r*Origine France']","['Non végétalien', 'Non végétarien']",513,-4%,?,,"5,1",-16%,"13,3",+6%,"5,1",-19%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,1 kg,,"['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E327 - Lactate de calcium']","['Œufs', 'Gluten', 'Lait']",4,,5.1 g,en quantité modérée,2 g,en quantité modérée,2.3 g,en faible quantité,0.85 g,en quantité modérée,513 kj(123 kcal),-8%,2,-21%,"2,3",-15%,"0,85",+8%,"0,34",+8%,1,-57%,B,-57%,,,https://www.toupargel.fr/198-lasagnes-a-la-bolognaise-1-kg.html,,
326,Lasagnes aux légumes grillés - Thiriet - 900g,,,['Thiriet'],,,,['France'],"['Légumes grillés 26% ', 'courgettes 8,8%', 'poivrons rouges et jaunes 8,7%', 'aubergines 6,2%', 'oignons 2,3%', 'eau', 'pâte précuite ', 'semoule de blé dur', 'eau', 'oeuf', 'pulpe de tomate', 'huile de tournesol', 'purée de tomate', 'mozzarella 3%', 'lait écrémé en poudre', 'amidon transformé', 'concentré de tomate', 'crème fraîche', 'basilic', 'sel', 'ail', 'muscade', 'poivres']","['Sans huile de palme', 'Non végétalien']",526,,?,,"6,6",,12,,"3,8",,,,,,,,,900 g,['Thiriet'],['E14XX - Amidons modifiés'],"['Œufs', 'Lait']",4,,,,,,,,,,526 kj(126 kcal),,"1,4",,"2,2",,"0,55",,"0,22",,,,,,,,"https://www.thiriet.com/produits/plats_cuisines/plats_a_partager/les_gratins/lasagnes_aux_legumes_grilles,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1GQU0xLTA0JnByb2R1aXRfaWQ9ODgyNTU%3D",,
327,Lasagnes aux légumes grillés - Toupargel - 350g,,,['Toupargel'],,,,['France'],"['Eau', 'tomates pelées concassées ', '11,6%', ' ', 'tomates en cubes ', '70%', 'jus de tomates', ""correcteur d'acidité : acide citrique"", 'semoule de blé dur', ' aubergines grillées en cubes ', '6,1%', 'mozzarella râpée ', '6%', 'poivrons jaunes grillés en cubes ', '4,3%', 'poivrons rouges grillés en cubes ', '4,3%', 'courgettes grillées demies rondelles ', '4,1%', 'huile végétale de tournesol non hydrogénée', 'courgettes grillées en cubes ', '2,3%', 'poivrons jaunes grillés en lanières ', '2%', 'poivrons rouges grillés en cubes ', '2%', 'lait écrémé en poudre', 'emmental râpé ', '1,7%', 'carottes en morceaux', ""huile d'olive vierge extra"", 'oignons grillés en cubes ', '1,1%', 'crème pasteurisée', 'amidons transformés de maïs', 'double concentré de tomates', 'basilic en flocons', 'farine de blé', 'persil en flocons', ""pulpe d'ail"", 'parmigiano reggiano AOP* râpé ', '0,3%', 'sel', 'paprika en poudre', 'cerfeuil en flocons', 'thym en flocons', 'origan en flocons', 'origan en poudre', 'macis en poudre', 'épaississant : gomme xanthane', 'romarin en poudre']",['Non végétalien'],570,,?,,"7,4",,12,,"4,9",,,,,,,,,350 g,,"['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",['Gluten'],4,,,,,,,,,,570 kj(136 kcal),,"2,2",,3,,"0,48",,"0,192",,,,,,,,https://www.toupargel.fr/16461-lasagnes-aux-legumes-grilles-350-g.html,,
328,Lasagnes au saumon et épinards -  - 900g,D,,,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,['France'],"['Sauce béchamel 21,1% ', 'eau', 'lait entier en poudre', 'farine de blé', 'amidon transformé', 'sel', 'muscade', 'arôme naturel de poivre', 'eau', 'saumon 15% ', 'soit 23,4% de la garniture', 'épinards 15%', 'pâtes précuites 12% ', 'semoule de blé dur', 'eau', ""poudre d'œuf"", 'sel', 'crème fraîche', 'échalote', 'emmental', 'beurre', 'vin blanc', 'amidon transformé', 'lait entier en poudre', 'farine de blé', 'sel', 'jus de citron concentré', 'arôme naturel ', 'dont poisson', 'ail', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",492,-8%,?,,5,-22%,"11,7",-3%,"6,1",-10%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,900 g,,['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait']",4,,5 g,en quantité modérée,2.8 g,en quantité modérée,2.1 g,en faible quantité,0.6 g,en quantité modérée,492 kj(118 kcal),-15%,"2,8",+1%,"2,1",-1%,"0,6",-18%,"0,24",-18%,1,-60%,B,-60%,,,"https://www.thiriet.com/produits/plats_cuisines/plats_a_partager/les_gratins/lasagnes_au_saumon_et_epinards,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%253D&vars=ZmFtaWxsZV9pZD0xYjM3ODg2ZS1hZmZjLTQ1MGMtOGRkNC0zNmUzMDBhNSZwcm9kdWl0X2lkPTg4MjUy",,
329,Lasagnes saumon poireaux - Monoprix - 350g,D,,['Monoprix'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,['France'],"['Eau', 'crème fraîche', 'saumon Salmo salar 8%', 'pâte à lasagne sèche ', 'semoule de blé dur', 'eau', 'poireaux 6', '2%', 'emmental 3', '2% ', 'lait pasteurisé', 'fécule de pommes de terre', 'sel', 'ferments lactiques', 'enzyme coagulante', 'amidon transformé de maïs', 'lait écrémé en poudre', 'vin blanc', 'huile de colza', 'saumon fumé 1', '7%', 'saumon Salmo salar', 'sel', 'double concentré de tomates', 'farine de blé', 'sel', 'arôme naturel de saumon avec autres arômes naturels ', 'contient poisson', 'jus de citron concentré', 'arôme naturel de poivre', 'arôme naturel de muscade et autres arômes naturels', 'épaississant : gomme xanthane', 'curry ', 'contient moutarde']","['Non végétalien', 'Non végétarien']",580,+9%,?,,"6,9",+7%,14,+17%,"5,1",-24%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,350 g,['Monoprix'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Poisson', 'Gluten', 'Lait', 'Moutarde']",4,,6.9 g,en quantité modérée,3 g,en quantité modérée,3.3 g,en faible quantité,0.79 g,en quantité modérée,580 kj(139 kcal),+0%,3,+8%,"3,3",+56%,"0,79",+7%,"0,316",+7%,3,+20%,C,+20%,,,https://www.monoprix.fr/lasagnes-saumon-poireaux-gratinees-au-four-monoprix-2454768-p,,
330,Cannelloni à la bolognaise - Toupargel - 900g,,,['Toupargel'],"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés']",,,['France'],"['Eau', 'lait écrémé réhydraté ', 'eau', 'lait écrémé en poudre', 'viande bovine ', '11,9%', '*', 'tomates pelées concassées au jus ', '10,9%', ' ', 'tomates ', '70%', 'jus de tomates', 'semoule de blé dur de qualité supérieur', 'oignons en cubes ', '5,3%', 'emmental râpé ', '2,7%', ' ', 'lait de vache', 'sel', 'ferments lactiques', 'présure', 'amidon de pommes de terre', 'carottes en cubes ', '2,7%', 'margarine végétale ', 'huiles végétales de colza non hydrogénées', 'eau', ""émulsifiant : mono - et diglycérides d'acides gras d'origine végétale"", 'sel', ""correcteur d'acidité : acide citrique"", 'concentré de tomates', 'tomates en cubes ', '2,1%', 'crème fraîche\rpasteurisée', ""préparation d'oeufs salés pasteurisés "", 'oeufs', ""blancs d'oeufs"", 'sel', 'farine de blé', 'oignons préfrits ', 'oignons', 'huile de tournesol ou de colza non hydrogénée', 'amidon transformé de pommes de terre', 'champignons de Paris émincés', 'huile végétale de tournesol non hydrogénée', 'sel', 'jus de tomates concentré', 'vin rouge ', 'contient sulfites', ""pulpe d'ail"", 'basilic en flocons', ""feuilles d'origan"", 'arôme naturel ', 'contient blé', 'sucre', 'colorant : caramel ordinaire', 'thym', 'poivre blanc', 'macis']","['Non végétalien', 'Non végétarien']",585,+18%,?,,"7,3",+41%,"11,8",-27%,"5,9",-6%,,,,,,,,900 g,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,7.3 g,en quantité modérée,2.6 g,en quantité modérée,2.5 g,en faible quantité,0.84 g,en quantité modérée,585 kj(140 kcal),-8%,"2,6",+23%,"2,5",-14%,"0,84",+8%,"0,336",+8%,2,-21%,B,-21%,,,https://www.toupargel.fr/278-cannelloni-a-la-bolognaise-900-g.html,,
331,Moussaka - Toupargel - 900g,,,['Toupargel'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf']",,,['France'],"['Eau', 'aubergines préfrites avec peau ', '23,5%', ' ', 'aubergines ', '80%', 'huile végétale de tournesol non hydrogénée', 'viande bovine* ', '14,3%', 'tomates pelées concassées ', '9,4%', ' ', 'tomates en cubes ', '70%', 'jus de tomates', ""correcteur d'acidité : acide citrique"", 'oignons blancs en cubes ', '7,9%', 'double concentré de tomates ', '4,8%', 'mozzarella râpée ', '3,3%', ' ', 'lait de vache', 'sel', 'ferments', 'présure', 'antiagglomérant :\ramidon de pommes de terre', 'chapelure ', 'farine de blé', 'sel', ""poudre à lever : carbonates d'ammonium"", 'carottes en cubes', ""viande d'agneau "", '1,3%', 'arômes naturels ', 'contient lait et gluten', 'amidon transformé de pommes de terre', ""pulpe d'ail"", 'sel', 'farine de blé', ""huile d'olive vierge extra"", 'margarine végétale\r', 'huiles végétales de colza non hydrogénées', 'eau', ""émulsifiant : mono - et diglycérides d'acides gras d'origine végétale"", 'sel', ""correcteur d'acidité : acide citrique"", 'vin blanc ', 'contient sulfites', 'colorant : caramel ordinaire', 'poivre blanc', 'thym', 'clous de girofle en poudre']","['Non végétalien', 'Non végétarien']",581,+9%,?,,"10,4",+74%,"5,4",-42%,"4,9",-44%,,,,,,,,900 g,,"['E330 - Acide citrique', ""E503 - Carbonates d'ammonium"", 'E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E150a - Caramel E150a']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,10.4 g,en quantité modérée,2.7 g,en quantité modérée,3 g,en faible quantité,0.91 g,en quantité modérée,581 kj(139 kcal),+3%,"2,7",+24%,3,+66%,"0,91",+7%,"0,364",+7%,-3,-231%,A,-231%,,,https://www.toupargel.fr/3964-moussaka-900-g.html,,
332,Riz basmati aux crevettes façon thaï -  - 900g,,,,,,,['France'],"['riz basmati 35% ', 'eau', 'riz', 'crevettes 16% ', 'crevettes 84%', 'eau', 'sel', 'lait de coco 8,2% ', 'lait de coco', 'stabilisants : gomme xanthane - gomme guar - carraghénane', 'tomates cerises 7%', 'poivrons rouges grillés 7%', 'fèves de soja 6%', 'carottes 5%', 'eau', 'oignon', 'jus de citron vert 1,6%', 'oignons de printemps 1,5%', 'huile de colza', 'sel', 'sucre', 'miel', 'coriandre', 'ail', 'gingembre 0,4%', 'assaisonnement de curry ', 'épices', 'sel', 'légumes en poudre ', 'oignon', 'ail', 'basilic', 'piment rouge', 'curcuma']","['Non végétalien', 'Non végétarien']",452,,?,,"3,5",,"13,1",,"5,3",,,,,,,,,900 g,,"['E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Crustacés'],4,,,,,,,,,,452 kj(108 kcal),,"2,4",,"2,2",,"0,608",,"0,243",,,,,,,,"https://www.thiriet.com/produits/plats_cuisines/plaisirs_dailleurs/a_partager/riz_basmati_aux_crevettes_facon_thai,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1TU0ZBTTEtMDktMDMtMDEmcHJvZHVpdF9pZD04NzQzNw%3D%3D",,
333,Poêlée de gambas et tagliatelles sauc crustacés - Toupargel - 600g,,,['Toupargel'],,,,['France'],"['Pâtes tagliatelles précuites ', '24,3%', ' ', 'eau', 'semoule de blé dur', 'oeufs entiers', 'sel', 'crevettes décortiquées crues ', '15%', 'crème fraîche pasteurisée ', '14%', 'eau', 'courgettes grillées en demi-rondelles ', '5,7%', 'poivrons jaunes grillés en lanières ', '4,6%', 'tomates en cubes ', '4,1%', 'carottes jaunes en julienne ', '3,7%', 'échalotes en cubes ', '3,1%', 'épinards en branches ', '2,9%', 'fond de crustacés ', '1,6%', ' ', 'crustacés et extraits de crustacés en poudre', 'fructose et sucre', 'sel', 'eau', 'vin blanc', 'arôme naturel', ' ', 'contient sulfites', 'vin blanc ', 'contient sulfites', 'beurre pasteurisé', 'vieil Armagnac modifié ', 'dont colorant : caramel ordinaire', ""huile d'olive vierge extra"", 'amidon transformé de riz', 'lait écrémé en poudre', 'purée de tomates double concentrée', 'Brandy modifié ', 'eau de vie de vin', 'sirop de sucre', 'infusion de copeaux de chêne', 'mélange dénaturant ', 'sel', 'arôme naturel de poivre', 'colorant : caramel ordinaire', 'colorant : extrait de paprika', 'sel', 'basilic en flocons', 'fumet de crustacés déshydraté ', '0,1%', ' ', 'maltodextrines de blé et de maïs', 'dextrose de blé et de maïs', 'sel', 'sucre', 'extraits de crustacés ', 'crevettes', 'crabes', 'légumes ', 'tomates', 'betteraves rouges', 'arômes naturels ', 'contient poisson', 'poisson en poudre', 'plante aromatique', 'huile végétale de tournesol non hydrogénée', 'colorants : rouge de betterave - extrait de paprika ', 'ail en purée', 'arôme naturel ', 'contient crustacés et sulfites', 'épaississant : gomme xanthane', 'mélange 5 baies en poudre ', 'poivre noir', 'poivre blanc', 'coriandre', 'poivre vert', 'baies roses']","['Non végétalien', 'Non végétarien']",548,,?,,"7,1",,"10,1",,"6,1",,,,,,,,,600 g,,"['E150a - Caramel E150a', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave', 'E415 - Gomme xanthane']","['Crustacés', 'Poisson', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,548 kj(131 kcal),,4,,2,,"0,56",,"0,224",,,,,,,,https://www.toupargel.fr/13798-poelee-de-gambas-et-tagliatelles-sauce-crustaces-600-g.html,,
334,Pâtes au colin d'Alaska et aux noix de St-jacques - Thiriet - 1kg,,,['Thiriet'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Plats aux fruits de mer', 'Plats aux noix de Saint-Jacques']",,,['France'],"['Pâtes cuites 33% ', 'eau', 'semoule de blé dur', 'courgettes 14%', 'eau', 'colin d’Alaska* 9%', 'noix de Saint-Jacques 7%', 'crème fraîche 6%', 'carottes 6%', 'vin blanc Muscadet AOC**', 'dont sulfites', 'échalote', 'beurre', 'jus de citron 1,3%', 'fumet de poisson ', 'cabillaud', 'eau', 'poireau', 'échalote', 'vin blanc réduit', 'plantes aromatiques ', 'persil', 'thym', 'laurier', 'amidon transformé', 'sel', 'ciboulette', 'huile de tournesol', 'vinaigre d’alcool', 'protéine de lait', 'épaississants : gomme xanthane - gomme guar', 'jus concentré de légumes ', 'carotte', 'oignon', 'poireau', 'extrait de poivre', 'colorants : lutéine - extrait de paprika', '\r *Zygochlamys patagonica', 'origine Argentine ', 'ZA', ' ou Uruguay ', 'ZU', 'ou Chlamys opercularis', 'origine France ', 'CF', ' ou Ecosse ', 'CE', ' ou Irlande ', 'CI', ' ou Angleterre ', 'CA', ""\rLes lettres situées en fin de numéro de lot indiquent l'espèce et l'origine des noix de Saint Jacques"", ""\r**Appellation d'Origine Contrôlée""]","['Non végétalien', 'Non végétarien']",440,-16%,?,,"4,1",-47%,"10,9",-13%,"5,2",-20%,,,,,,,,1 kg,['Thiriet'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E161b - Lutéine', 'E160c - Extrait de paprika']","['Poisson', 'Lait', 'Mollusques']",4,,4.1 g,en quantité modérée,2.5 g,en quantité modérée,1.3 g,en faible quantité,0.413 g,en quantité modérée,440 kj(105 kcal),-29%,"2,5",-42%,"1,3",-27%,"0,413",-48%,"0,165",-48%,0,-100%,B,-100%,,,"https://www.thiriet.com/produits/plats_cuisines/plats_a_partager/poelees_cuisinees/pates_au_colin_dalaska_et_noix_de_st-jacques,163,1139.html?&args=Y29tcF9pZD00OCZhY3Rpb249ZmljaGUmaWQ9Jnw%3D&vars=ZmFtaWxsZV9pZD1GQU0xLTA5JnByb2R1aXRfaWQ9ODc5ODQ%3D",,
335,"Poêlée de pâtes, saumon et colin, sauce aux légumes - Toupargel - 900g",,,['Toupargel'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson']",,,['France'],"['Pâtes conchiglie précuites ', '33,7%', ' ', 'eau', 'semoule de blé dur', 'eau', ""colin d'Alaska qualité sans arêtes* "", '14,2%', 'tomates', 'saumon Atlantique qualité sans arêtes* ', '5,3%', 'crème fraîche pasteurisée ', '3,9%', 'oignons', 'champignons de Paris', 'carottes jaunes', 'courgettes', 'huile végétale de tournesol', 'vin blanc ', 'contient sulfites', 'lait écrémé en poudre', 'amidon transformé de riz', 'jus de moules ', 'extrait de moules', 'sel', 'sucre', 'sel', 'persil', ""purée d'ail"", 'thym', 'arôme naturel ', 'contient lait', 'épices', 'épaississant : gomme xanthane', 'jus concentré de citron et arôme naturel de citron', 'curcuma']","['Non végétalien', 'Non végétarien']",458,-28%,?,,"3,4",-67%,13,+56%,"6,1",-35%,,,,,,,,900 g,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']",4,,3.4 g,en quantité modérée,1.1 g,en faible quantité,1.6 g,en faible quantité,0.32 g,en quantité modérée,458 kj(109 kcal),-37%,"1,1",-59%,"1,6",+7%,"0,32",-69%,"0,128",-69%,0,-100%,B,-100%,,,https://www.toupargel.fr/17487-poelee-de-pates-saumon-et-colin-sauce-aux-legumes-900-g.html,,
